,Date,Team,Elo
7471,2013-03-27,MEM,1656.040562122415
7504,2013-03-29,MEM,1646.4139602027747
7521,2013-03-30,MEM,1651.147209123768
7548,2013-04-01,MEM,1656.355362771541
7581,2013-04-03,MEM,1665.0799734143914
7611,2013-04-05,MEM,1671.9706462201405
7637,2013-04-07,MEM,1661.3417865063159
7656,2013-04-09,MEM,1666.9534771072902
7699,2013-04-12,MEM,1667.9204415898182
7714,2013-04-13,MEM,1677.9075496209791
7743,2013-04-15,MEM,1663.3033746182784
7768,2013-04-17,MEM,1672.8934845849838
7807,2013-10-30,MEM,1676.823811648386
7834,2013-11-01,MEM,1668.972362011932
7851,2013-11-02,MEM,1671.0764070104576
7876,2013-11-04,MEM,1660.1434495309334
7954,2013-11-09,MEM,1663.4764360784968
7969,2013-11-11,MEM,1667.7616315800508
7998,2013-11-13,MEM,1658.5240035321574
8035,2013-11-15,MEM,1641.308464400307
8061,2013-11-17,MEM,1651.9356866284784
8075,2013-11-18,MEM,1656.8417353863279
8109,2013-11-20,MEM,1669.3056290748605
8124,2013-11-22,MEM,1679.131419080335
8172,2013-11-25,MEM,1666.9950683034679
8191,2013-11-27,MEM,1651.7407168755428
8240,2013-11-30,MEM,1659.7309378509715
8280,2013-12-03,MEM,1642.9643483693878
8302,2013-12-05,MEM,1645.4239614893106
8330,2013-12-07,MEM,1632.1052687740696
8358,2013-12-09,MEM,1616.8540055153094
8384,2013-12-11,MEM,1618.5036700264475
8442,2013-12-15,MEM,1608.2120469457593
8470,2013-12-17,MEM,1591.8579194120407
8491,2013-12-18,MEM,1577.5246030031137
8519,2013-12-21,MEM,1569.2882521746387
8558,2013-12-23,MEM,1580.1823736557794
8579,2013-12-26,MEM,1584.4111978933702
8612,2013-12-28,MEM,1577.2146879621744
8634,2013-12-30,MEM,1585.2990940796842
8681,2014-01-02,MEM,1570.0192625790783
8699,2014-01-03,MEM,1580.8351345847655
8721,2014-01-05,MEM,1573.4959613510523
8752,2014-01-07,MEM,1581.8288325182502
8794,2014-01-10,MEM,1571.9154753255807
8828,2014-01-12,MEM,1577.26675255164
8852,2014-01-14,MEM,1582.999839710937
8865,2014-01-15,MEM,1593.3260014583293
8900,2014-01-17,MEM,1598.5391138993941
8946,2014-01-20,MEM,1601.7100529178708
9009,2014-01-24,MEM,1585.3686139627148
9022,2014-01-25,MEM,1598.577037451546
9069,2014-01-28,MEM,1605.4901605176049
9091,2014-01-29,MEM,1617.922143409566
9107,2014-01-31,MEM,1624.5233410951491
9126,2014-02-01,MEM,1633.8101973933533
9155,2014-02-03,MEM,1635.196200096834
9182,2014-02-05,MEM,1630.3666216405707
9223,2014-02-08,MEM,1615.4036237695182
9243,2014-02-09,MEM,1625.3204405403653
9268,2014-02-11,MEM,1610.5859172775138
9279,2014-02-12,MEM,1614.8079215544267
9314,2014-02-18,MEM,1619.69808087502
9364,2014-02-21,MEM,1623.3558838785914
9373,2014-02-22,MEM,1630.826084833463
9436,2014-02-26,MEM,1618.3251246032864
9461,2014-02-28,MEM,1621.0676149816984
9480,2014-03-01,MEM,1615.632435427825
9503,2014-03-03,MEM,1618.4923614306936
9539,2014-03-05,MEM,1628.4498541043702
9559,2014-03-07,MEM,1619.3360408038243
9582,2014-03-08,MEM,1631.2354584159623
9628,2014-03-11,MEM,1634.798264569849
9649,2014-03-12,MEM,1640.4130820786092
9671,2014-03-14,MEM,1647.7380816522727
9693,2014-03-15,MEM,1638.0372344681211
